"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"AARTISURF","Aarti Surfactants Limited",679.1,646.8,"09-Nov-2020",679.1,"646.8",32.3,4.9938157081014225
"ADANIGREEN","Adani Green Energy Limited",919,903,"09-Nov-2020",854.4,"899.35",-44.95,-4.998054150219603
"AKASH","Akash Infra-Projects Limited",281,272.25,"09-Nov-2020",268,"269.65",-1.65,-0.6119043204153533
"AMARAJABAT","Amara Raja Batteries Limited",836,816,"09-Nov-2020",833,"814",19,2.3341523341523343
"APOLLOPIPE","Apollo Pipes Limited",624.9,610,"09-Nov-2020",619.9,"600.05",19.85,3.3080576618615116
"ASHOKLEY","Ashok Leyland Limited",91.95,87.5,"24-Jan-2020",91.3,"84.3",7,8.303677342823251
"AUSOMENT","Ausom Enterprise Limited",83.3,75.75,"09-Nov-2020",79.2,"75.75",3.45,4.554455445544554
"AXISBNKETF","Axis Mutual Fund - Axis Banking ETF",285,274.31,"09-Nov-2020",282.9,"249.96",32.94,13.178108497359577
"BAFNAPH","Bafna Pharmaceuticals Limited",162.25,154.55,"09-Nov-2020",162.25,"154.55",7.7,4.98220640569395
"BHARATFORG","Bharat Forge Limited",539.65,533.9,"16-Jan-2020",517.8,"493.75",24.05,4.870886075949367
"BIGBLOC","Bigbloc Construction Limited",81.7,78.15,"09-Nov-2020",81.7,"78.1",3.6,4.609475032010243
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",128.35,122.25,"09-Nov-2020",128.35,"122.25",6.1,4.989775051124744
"BSLNIFTY","Aditya Birla Sun Life Nifty ETF - Growth",138.49,138,"15-Oct-2020",138.49,"135.87",2.62,1.928313829395746
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",398.2,379.25,"09-Nov-2020",380.2,"379.25",0.95,0.2504943968358603
"DALBHARAT","Dalmia Bharat Limited",929.95,928,"06-Nov-2020",903.1,"904.95",-1.85,-0.2044311840433173
"EQ30","Edelweiss ETF - Nifty 100 Quality 30",368,360,"09-Nov-2020",367.99,"360",7.99,2.2194444444444446
"EQUITASBNK","Equitas Small Finance Bank Limited",34.5,33.75,"03-Nov-2020",33.4,"32.65",0.75,2.2970903522205206
"ESCORTS","Escorts Limited",1367,1364.7,"09-Nov-2020",1341,"1355.85",-14.85,-1.0952538997676735
"GUFICBIO","Gufic Biosciences Limited",127.2,124.85,"09-Nov-2020",119,"119.85",-0.85,-0.7092198581560284
"HAVELLS","Havells India Limited",844.3,828.6,"09-Nov-2020",837.1,"824",13.1,1.5898058252427185
"HBANKETF","HDFC Mutual Fund - HDFC Banking ETF",286,274.22,"09-Nov-2020",284.5,"273.16",11.34,4.151413091228584
"HDFCBANK","HDFC Bank Limited",1395,1345.95,"09-Nov-2020",1393.2,"1340.55",52.65,3.9274924471299095
"HDFCSENETF","HDFC Mutual Fund - HDFC SENSEX ETF",5000,4966,"01-Feb-2020",4536.25,"4479.75",56.5,1.261231095485239
"ICICIMCAP","ICICI Prudential Midcap Select ETF",74.5,73.6,"27-Aug-2020",68,"68.33",-0.33,-0.4829503878237963
"ICICINIFTY","ICICI Prudential Nifty ETF",151.8,141,"30-Dec-2019",133.7,"131.97",1.73,1.3109039933318178
"ICICINV20","ICICI Prudential NV20 ETF",64,63.36,"31-Aug-2020",62.15,"62.21",-0.06,-0.09644751647645074
"IDFNIFTYET","IDFC Mutual Fund - IDFC Nifty ETF",152.7,148.9,"09-Nov-2020",149.79,"139.67",10.12,7.245650461802821
"INDIGO","InterGlobe Aviation Limited",1639.7,1541,"28-Jan-2020",1623,"1491.05",131.95,8.849468495355621
"JKCEMENT","JK Cement Limited",2000.45,1974,"21-Oct-2020",1853.6,"1907.65",-54.05,-2.833328964956884
"JSLHISAR","Jindal Stainless (Hisar) Limited",111.95,109.75,"21-Aug-2020",110,"107.4",2.6,2.4208566108007448
"JSWSTEEL","JSW Steel Limited",337.65,334.2,"09-Nov-2020",335.85,"333.1",2.75,0.8255779045331733
"KAJARIACER","Kajaria Ceramics Limited",598.8,595.95,"01-Feb-2020",594.95,"593.25",1.7,0.28655710071639273
"KERNEX","Kernex Microsystems (India) Limited",24.35,24.1,"27-Nov-2019",24.35,"23.2",1.15,4.956896551724138
"KEYFINSERV","Keynote Financial Services Limited",56.9,47.45,"09-Nov-2020",56.9,"47.45",9.45,19.915700737618547
"KOTAKBANK","Kotak Mahindra Bank Limited",1794.45,1751.8,"09-Nov-2020",1756,"1728.15",27.85,1.6115499233284147
"KRISHANA","Krishana Phoschem Limited",75.4,74,"09-Nov-2020",75,"73.9",1.1,1.4884979702300405
"LASA","Lasa Supergenerics Limited",83.5,83.4,"06-Nov-2020",77,"78.8",-1.8,-2.284263959390863
"M50","Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF",124.42,123.06,"09-Nov-2020",123.9,"122.99",0.91,0.7398975526465567
"MANINDS","Man Industries (India) Limited",78.5,76,"16-Sep-2020",77.4,"69.05",8.35,12.092686459087618
"MAZDA","Mazda Limited",586.9,584,"09-Nov-2020",565,"566.8",-1.8,-0.3175723359209598
"NETFNIF100","NIPPON INDIA ETF NIFTY 100",136.99,135,"11-Mar-2020",127.01,"127.89",-0.88,-0.6880913284854172
"NIPPOBATRY","Indo-National Limited",707.85,658.8,"24-Jun-2020",678.1,"603.75",74.35,12.314699792960662
"ORCHPHARMA","Orchid Pharma Limited",22.8,21.75,"09-Nov-2020",22.8,"21.75",1.05,4.827586206896552
"PFIZER","Pfizer Limited",5900,5269,"27-Oct-2020",5051,"4923.25",127.75,2.594830650484944
"PGEL","PG Electroplast Limited",120.75,116.4,"27-Oct-2020",119.8,"115.05",4.75,4.128639721860061
"RESPONIND","Responsive Industries Limited",167.95,166.85,"09-Nov-2020",157,"163.25",-6.25,-3.8284839203675345
"SALASAR","Salasar Techno Engineering Limited",217,215,"07-Oct-2020",215.15,"210.5",4.65,2.209026128266033
