"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"AARON","Aaron Industries Limited",33.7,33,"06-Nov-2020",32.85,"32.7",0.15,0.45871559633027525
"AARTISURF","Aarti Surfactants Limited",646.8,616,"06-Nov-2020",646.8,"616",30.8,5
"ADANIENT","Adani Enterprises Limited",364.7,359.5,"04-Nov-2020",356.95,"352.1",4.85,1.3774495881851747
"ADANIGAS","Adani Gas Limited",247.3,242.7,"06-Nov-2020",238,"239.85",-1.85,-0.7713154054617469
"ADANIGREEN","Adani Green Energy Limited",903,899.2,"02-Nov-2020",903,"860",43,5
"AKASH","Akash Infra-Projects Limited",272,264,"16-Oct-2020",267,"259.3",7.7,2.969533359043579
"AMARAJABAT","Amara Raja Batteries Limited",816,813.85,"27-Jan-2020",815.35,"808.7",6.65,0.8223074069494251
"APLAPOLLO","APL Apollo Tubes Limited",3290.05,3280.05,"06-Nov-2020",3265.05,"3256.2",8.85,0.27178920213746083
"APOLLOPIPE","Apollo Pipes Limited",610,605,"06-Nov-2020",598.3,"585.85",12.45,2.125117350857728
"ASIANPAINT","Asian Paints Limited",2249,2248,"06-Nov-2020",2221,"2209.05",11.95,0.5409565197709423
"AUSOMENT","Ausom Enterprise Limited",75.75,65.9,"06-Nov-2020",75.75,"63.15",12.6,19.95249406175772
"AXISBNKETF","Axis Mutual Fund - Axis Banking ETF",274.31,0,"-",272.8,"249.96",22.84,9.137461993919027
"BAFNAPH","Bafna Pharmaceuticals Limited",154.55,147.2,"06-Nov-2020",154.55,"147.2",7.35,4.993206521739131
"BIGBLOC","Bigbloc Construction Limited",78.15,77.7,"27-Oct-2020",78.15,"74.5",3.65,4.899328859060403
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",122.25,116.5,"29-Oct-2020",122.25,"116.45",5.8,4.9806784027479605
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",379.25,361.2,"06-Nov-2020",379.25,"361.2",18.05,4.9972314507198226
"CERA","Cera Sanitaryware Limited",2843,2828,"22-Oct-2020",2809.05,"2808.2",0.85,0.030268499394630013
"CGPOWER","CG Power and Industrial Solutions Limited",32.85,32.7,"02-Nov-2020",31.95,"31.9",0.05,0.15673981191222572
"DABUR","Dabur India Limited",535.95,535,"06-Oct-2020",526.3,"527.2",-0.9,-0.17071320182094082
"DIVISLAB","Divi's Laboratories Limited",3463.4,3389,"18-Sep-2020",3415,"3237.25",177.75,5.4907714881458025
"EBBETF0431","Edelweiss Mutual Fund - BHARAT Bond ETF - April 2031",1018,1017.49,"06-Nov-2020",1016.2,"1016.43",-0.23,-0.022628218372145646
"EQ30","Edelweiss ETF - Nifty 100 Quality 30",360,360,"22-Oct-2020",360,"353",7,1.9830028328611897
"ESCORTS","Escorts Limited",1364.7,1342.75,"30-Sep-2020",1358.65,"1285.45",73.2,5.694503870239994
"FCL","Fineotex Chemical Limited",41,39.5,"06-Nov-2020",38.85,"37.85",1,2.642007926023778
"GREENPANEL","Greenpanel Industries Limited",90.5,86.2,"06-Nov-2020",88.75,"86.2",2.55,2.9582366589327145
"GUFICBIO","Gufic Biosciences Limited",124.85,113.1,"04-Nov-2020",119.2,"105.5",13.7,12.985781990521327
"GULPOLY","Gulshan Polyols Limited",79,78.9,"06-Nov-2020",78.75,"75.35",3.4,4.512276045122761
"HAVELLS","Havells India Limited",828.6,827,"03-Nov-2020",825.45,"818.65",6.8,0.8306358028461491
"HBANKETF","HDFC Mutual Fund - HDFC Banking ETF",274.22,266.31,"06-Nov-2020",274,"265.63",8.37,3.1509995105974475
"HBLPOWER","HBL Power Systems Limited",22.4,22.35,"06-Nov-2020",21.1,"21.35",-0.25,-1.17096018735363
