"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",107.5,102.4,"19-Oct-2020",107.5,"102.4",5.1,4.98046875
"ACC","ACC Limited",1622.1,1590.5,"04-Nov-2019",1577.5,"1562.65",14.85,0.9503087703580456
"AGCNET","AGC Networks Limited",518.95,473.15,"19-Oct-2020",497,"468.95",28.05,5.981447915556029
"AMBUJACEM","Ambuja Cements Limited",254.9,250,"15-Oct-2020",251.75,"247.6",4.15,1.6760904684975768
"ASIANPAINT","Asian Paints Limited",2131.8,2124,"15-Oct-2020",2131,"2070.1",60.9,2.9418868653688226
"BAFNAPH","Bafna Pharmaceuticals Limited",78.25,74.55,"19-Oct-2020",78.25,"74.55",3.7,4.963112005365526
"BERGEPAINT","Berger Paints (I) Limited",619,618.5,"15-Oct-2020",617.65,"610.7",6.95,1.1380383166857704
"BIGBLOC","Bigbloc Construction Limited",72,71,"13-Oct-2020",72,"70.4",1.6,2.272727272727273
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",83.55,79.6,"19-Oct-2020",83.55,"79.6",3.95,4.9623115577889445
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",315.6,302,"07-Oct-2020",315.6,"300.6",15,4.990019960079841
"GAEL","Gujarat Ambuja Exports Limited",130.8,129,"06-Oct-2020",124.95,"122.5",2.45,2
"GPIL","Godawari Power And Ispat limited",371.3,356.75,"19-Oct-2020",350.8,"356.75",-5.95,-1.667834618079888
"HISARMETAL","Hisar Metal Industries Limited",90.65,87,"17-Sep-2020",80.6,"82.9",-2.3,-2.7744270205066344
"ICIL","Indo Count Industries Limited",141.4,135.5,"15-Oct-2020",141.4,"134.7",6.7,4.974016332590943
"JKCEMENT","JK Cement Limited",1947.65,1823.65,"19-Oct-2020",1881,"1798",83,4.616240266963293
"JSWSTEEL","JSW Steel Limited",319.8,318.1,"19-Oct-2020",318.7,"313.5",5.2,1.6586921850079746
"KOPRAN","Kopran Limited",118.85,113.2,"19-Oct-2020",118.85,"113.2",5.65,4.991166077738516
"NCLIND","NCL Industries Limited",128.5,123.95,"19-Oct-2020",126,"120.7",5.3,4.391052195526098
"OPTIEMUS","Optiemus Infracom Limited",93.95,89.5,"19-Oct-2020",93.95,"89.5",4.45,4.972067039106145
"PIIND","PI Industries Limited",2165,2160,"07-Aug-2020",2150,"2145.7",4.3,0.20040080160320642
"RESPONIND","Responsive Industries Limited",138.8,135.9,"19-Oct-2020",132,"131.85",0.15,0.11376564277588168
"SAGCEM","Sagar Cements Limited",700,653.95,"19-Oct-2020",668,"636.25",31.75,4.990176817288802
"SOUTHWEST","South West Pinnacle Exploration Limited",38,36.45,"19-Oct-2020",36.1,"36.45",-0.35,-0.9602194787379973
"SUPPETRO","Supreme Petrochem Limited",274.75,266.95,"19-Oct-2020",269.95,"263.65",6.3,2.389531575952968
"SUULD","Suumaya Lifestyle Limited",65.35,62.25,"19-Oct-2020",65.35,"62.25",3.1,4.979919678714859
"TATACOMM","Tata Communications Limited",965.35,935,"15-Sep-2020",955,"919.4",35.6,3.8720904938003047
"VIMTALABS","Vimta Labs Limited",151.4,146.75,"19-Oct-2020",149,"146.75",2.25,1.5332197614991483
"VISHAL","Vishal Fabrics Limited",369.4,366.3,"19-Oct-2020",369.25,"366.25",3,0.8191126279863481
"VISHWARAJ","Vishwaraj Sugar Industries Limited",129.05,113.4,"13-Oct-2020",112.4,"110.65",1.75,1.5815634884771803
