"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",76.55,72.95,"08-Oct-2020",76.55,"72.95",3.6,4.934886908841673
"AKASH","Akash Infra-Projects Limited",255,255,"08-Oct-2020",245,"250",-5,-2
"ALPA","Alpa Laboratories Limited",39.35,35.8,"08-Oct-2020",39.35,"35.8",3.55,9.916201117318435
"AMBUJACEM","Ambuja Cements Limited",240.55,239.95,"08-Oct-2020",238.75,"238.15",0.6,0.2519420533277346
"APOLLOHOSP","Apollo Hospitals Enterprise Limited",2314,2256.9,"08-Oct-2020",2273,"2248.65",24.35,1.082871945389456
"BAFNAPH","Bafna Pharmaceuticals Limited",55.75,53.1,"08-Oct-2020",55.75,"53.1",2.65,4.990583804143126
"BALPHARMA","Bal Pharma Limited",65.7,54.75,"08-Oct-2020",65.7,"54.75",10.95,20
"BEPL","Bhansali Engineering Polymers Limited",99.9,89.35,"07-Oct-2020",95.8,"88.35",7.45,8.432371250707414
"BIGBLOC","Bigbloc Construction Limited",66.6,64,"08-Oct-2020",66.5,"63.45",3.05,4.806934594168637
"BIOCON","Biocon Limited",478,473.75,"08-Oct-2020",451.5,"469.15",-17.65,-3.762122988383246
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",72.65,69.2,"08-Oct-2020",72.65,"69.2",3.45,4.985549132947977
"BIRLAMONEY","Aditya Birla Money Limited",46.35,45.2,"04-Sep-2020",45.95,"40.35",5.6,13.878562577447337
"CADILAHC","Cadila Healthcare Limited",447.9,438.7,"08-Oct-2020",435.5,"436.1",-0.6,-0.13758312313689522
"CIPLA","Cipla Limited",825,819.3,"18-Sep-2020",804.65,"811.45",-6.8,-0.838006038572925
"DSSL","Dynacons Systems & Solutions Limited",37.9,35.6,"20-Jan-2020",37.9,"31.6",6.3,19.936708860759495
"GARFIBRES","Garware Technical Fibres Limited",2250,2232.8,"08-Oct-2020",2129.95,"2211.4",-81.45,-3.683187121280637
"GLOBE","Globe Textiles (India) Limited",58.4,57.6,"08-Oct-2020",57.45,"57.55",-0.1,-0.1737619461337967
"GLOBUSSPR","Globus Spirits Limited",341.9,333.85,"08-Oct-2020",328.95,"321.3",7.65,2.380952380952381
"GREENPANEL","Greenpanel Industries Limited",65.15,62.05,"08-Oct-2020",63.9,"62.05",1.85,2.9814665592264302
"HEROMOTOCO","Hero MotoCorp Limited",3340,3292.8,"08-Oct-2020",3340,"3279.15",60.85,1.855663815317994
"IZMO","IZMO Limited",43.5,41.45,"08-Oct-2020",43.5,"41.45",2.05,4.945717732207479
"JKCEMENT","JK Cement Limited",1665,1638,"07-Oct-2020",1645.15,"1587.6",57.55,3.624968505920887
"KARDA","Karda Constructions Limited",110.25,108.25,"28-Sep-2020",107,"105",2,1.9047619047619047
"MAJESCO","Majesco Limited",889.9,884.4,"07-Oct-2020",876,"847.85",28.15,3.3201627646399716
"NETFIT","Nippon India Mutual Fund - Nippon India ETF Nifty IT",22.45,22.27,"08-Oct-2020",21.99,"21.76",0.23,1.056985294117647
"NIRAJ","Niraj Cement Structurals Limited",48.8,46.5,"08-Oct-2020",48.8,"46.5",2.3,4.946236559139785
"OPTIEMUS","Optiemus Infracom Limited",75.45,71.9,"08-Oct-2020",75.45,"71.9",3.55,4.937413073713491
"PALREDTEC","Palred Technologies Limited",32.75,32,"15-Sep-2020",32.75,"31.2",1.55,4.967948717948718
"SAKAR","Sakar Healthcare Limited",92,90,"08-Oct-2020",89.45,"88.15",1.3,1.474758933635848
"SOUTHWEST","South West Pinnacle Exploration Limited",29.8,29,"06-Oct-2020",29.8,"27.8",2,7.194244604316546
"VALIANTORG","Valiant Organics Limited",3488,3131,"05-Oct-2020",3380,"2945.4",434.6,14.755211516262646
"VERTOZ","Vertoz Advertising Limited",164.8,162,"08-Oct-2020",164.3,"160.8",3.5,2.1766169154228856
"VISHAL","Vishal Fabrics Limited",347.75,345.3,"08-Oct-2020",347.4,"345.05",2.35,0.6810607158382843
"WIPRO","Wipro Limited",376.1,367.75,"08-Oct-2020",375.25,"359.45",15.8,4.395604395604396
