"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"ADANIGREEN","Adani Green Energy Limited",815.65,776.85,"28-Oct-2020",815.65,"776.85",38.8,4.994529188389007
"AGCNET","AGC Networks Limited",669.5,659.95,"28-Oct-2020",653.3,"648.25",5.05,0.7790204396451986
"APLAPOLLO","APL Apollo Tubes Limited",3214.95,3195,"28-Oct-2020",3090,"3129.8",-39.8,-1.271646750591092
"ASIANPAINT","Asian Paints Limited",2233.25,2218.55,"28-Oct-2020",2224.8,"2159.55",65.25,3.02146280475099
"BAFNAPH","Bafna Pharmaceuticals Limited",109.95,104.75,"28-Oct-2020",109.95,"104.75",5.2,4.964200477326969
"BANKA","-",34.75,0,"-",34.75,"33.1",1.65,4.984894259818731
"BERGEPAINT","Berger Paints (I) Limited",635.45,625.3,"28-Oct-2020",634.75,"606.5",28.25,4.657873042044518
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",116.5,111.8,"28-Oct-2020",106.25,"111.8",-5.55,-4.964221824686941
"CGPOWER","CG Power and Industrial Solutions Limited",29.95,28.55,"28-Oct-2020",29.95,"28.55",1.4,4.903677758318739
"CRISIL","CRISIL Limited",2069,2068,"23-Dec-2019",2052.05,"1950",102.05,5.233333333333333
"HAVELLS","Havells India Limited",736,734,"26-Oct-2020",720.2,"728.6",-8.4,-1.152895964864123
"HBLPOWER","HBL Power Systems Limited",21.1,19.65,"21-Jan-2020",20.55,"18.25",2.3,12.602739726027398
"HEXAWARE","Hexaware Technologies Limited",471.75,471.5,"08-Oct-2020",471,"470.55",0.45,0.09563277016257571
"ICEMAKE","Ice Make Refrigeration Limited",81.15,77.3,"28-Oct-2020",81.15,"77.3",3.85,4.980595084087969
"JETAIRWAYS","Jet Airways (India) Limited",62.15,59.2,"28-Oct-2020",62.15,"59.2",2.95,4.983108108108108
"JSL","Jindal Stainless Limited",62.25,62,"19-Oct-2020",61.6,"60.05",1.55,2.5811823480432974
"JUSTDIAL","Just Dial Limited",717.65,703.7,"28-Oct-2020",673,"677.45",-4.45,-0.6568750461288656
"LAXMIMACH","Lakshmi Machine Works Limited",4154,4088.85,"23-Oct-2020",4005,"4002.3",2.7,0.06746120980436249
"LIKHITHA","Likhitha Infrastructure Limited",176,160,"28-Oct-2020",151.55,"160",-8.45,-5.28125
"MAJESCO","Majesco Limited",922.95,908.75,"12-Oct-2020",919.1,"902.25",16.85,1.8675533388750347
"MOLDTEK-RE","Mold-Tek Packaging Limited - Rights Entitlement",162.45,116.05,"28-Oct-2020",162.45,"116.05",46.4,39.98276604911676
"NAVINFLUOR","Navin Fluorine International Limited",2300,2250,"16-Sep-2020",2276.15,"2123.45",152.7,7.191127646047706
"PRECOT","Precot Meridian Limited",42.85,42.5,"16-Sep-2020",42.85,"40.85",2,4.8959608323133414
"ROUTE","ROUTE MOBILE LIMITED",989.9,988,"25-Sep-2020",953.25,"912.6",40.65,4.4543063773833005
"SAREGAMA","Saregama India Limited",717.45,645.05,"28-Oct-2020",683.95,"623.7",60.25,9.660092993426327
"SHRADHA","Shradha Infraprojects Limited",45.05,42.95,"28-Oct-2020",45.05,"42.95",2.1,4.889406286379511
"SOUTHWEST","South West Pinnacle Exploration Limited",40.9,39.05,"28-Oct-2020",40,"39.05",0.95,2.4327784891165174
"SURYAROSNI","Surya Roshni Limited",229,227.4,"28-Oct-2020",228,"222.9",5.1,2.288021534320323
"SUULD","Suumaya Lifestyle Limited",91.8,87.45,"28-Oct-2020",91.8,"87.45",4.35,4.974271012006861
"TANLA","Tanla Solutions Limited",310.05,303.5,"08-Oct-2020",310.05,"295.3",14.75,4.994920419911954
