"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",69.5,66.2,"06-Oct-2020",69.5,"66.2",3.3,4.984894259818731
"AARTIDRUGS","Aarti Drugs Limited",937.4,929.75,"25-Aug-2020",937.4,"892.8",44.6,4.995519713261649
"ADANIENT","Adani Enterprises Limited",335.6,334.5,"05-Oct-2020",327.45,"327.15",0.3,0.09170105456212746
"ADVENZYMES","Advanced Enzyme Technologies Limited",382.8,368.7,"06-Oct-2020",381,"360.35",20.65,5.730539753017899
"ALPA","Alpa Laboratories Limited",34.25,32.9,"06-Oct-2020",32.55,"32.9",-0.35,-1.0638297872340425
"AMBUJACEM","Ambuja Cements Limited",237.75,231.85,"19-Aug-2020",235,"225.3",9.7,4.305370616955171
"APOLLOHOSP","Apollo Hospitals Enterprise Limited",2188.4,2168,"30-Sep-2020",2185,"2125.8",59.2,2.7848339448678145
"ASIANPAINT","Asian Paints Limited",2118.8,2097.9,"06-Oct-2020",2100.25,"2090",10.25,0.4904306220095694
"BAFNAPH","Bafna Pharmaceuticals Limited",50.6,48.2,"06-Oct-2020",50.6,"48.2",2.4,4.979253112033195
"BEPL","Bhansali Engineering Polymers Limited",89.35,89,"06-Oct-2020",87.15,"87.8",-0.65,-0.7403189066059226
"BERGEPAINT","Berger Paints (I) Limited",611.9,609.75,"06-Oct-2020",607.95,"605.25",2.7,0.44609665427509293
"BIGBLOC","Bigbloc Construction Limited",61.6,58.8,"06-Oct-2020",61.45,"58.7",2.75,4.6848381601362865
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",65.95,62.85,"06-Oct-2020",65.95,"62.85",3.1,4.932378679395386
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",302,300,"05-Oct-2020",289,"292.25",-3.25,-1.1120615911035072
"CIGNITITEC","Cigniti Technologies Limited",483.1,447.25,"06-Oct-2020",477,"443.25",33.75,7.614213197969543
"CYBERTECH","Cybertech Systems And Software Limited",73.8,71.45,"08-Sep-2020",73.8,"61.5",12.3,20
"EQ30","Edelweiss ETF - Nifty 100 Quality 30",353.98,352.36,"20-Jan-2020",344,"335.38",8.62,2.570218856222792
"ESTER","Ester Industries Limited",89.5,85.5,"06-Oct-2020",86.4,"85.5",0.9,1.0526315789473684
"GANGESSECU","Ganges Securities Limited",55.1,48.35,"29-Sep-2020",50.1,"46.3",3.8,8.207343412526997
"GLOBE","-",55.65,0,"-",54.95,"50.6",4.35,8.596837944664031
"GLOBUSSPR","Globus Spirits Limited",303.05,300,"24-Sep-2020",289,"288.65",0.35,0.12125411397886714
"GTPL","GTPL Hathway Limited",125,110.95,"18-Aug-2020",102,"110.45",-8.45,-7.650520597555455
"HEROMOTOCO","Hero MotoCorp Limited",3249.95,3230,"05-Oct-2020",3226,"3136.35",89.65,2.8584182250067753
"IBVENTURES","Indiabulls Ventures Limited",277.2,275,"06-Oct-2020",264.45,"273.15",-8.7,-3.185063152114223
"INDSWFTLAB","Ind-Swift Laboratories Limited",59.35,56.55,"06-Oct-2020",57.5,"56.55",0.95,1.6799292661361627
"INFIBEAM","Infibeam Avenues Limited",86.85,83.95,"16-Sep-2020",86.85,"82.75",4.1,4.954682779456193
"INFOBEAN","InfoBeans Technologies Limited",195,188.55,"06-Oct-2020",186.95,"188.55",-1.6,-0.8485812781755503
"INFY","Infosys Limited",1072,1060,"06-Oct-2020",1070.1,"1055.75",14.35,1.3592233009708738
"IZMO","IZMO Limited",39.5,37.65,"06-Oct-2020",39.5,"37.65",1.85,4.913678618857902
"JASH","Jash Engineering Limited",217.65,217,"06-Oct-2020",208.55,"214.2",-5.65,-2.637721755368814
"JKCEMENT","JK Cement Limited",1638,1615,"07-Aug-2020",1586,"1563.25",22.75,1.4553014553014554
"LALPATHLAB","Dr. Lal Path Labs Ltd.",2330,2029,"21-Jul-2020",2212,"1996.15",215.85,10.81331563259274
"MAJESCO","Majesco Limited",884.4,860.45,"06-Oct-2020",844.9,"860.45",-15.55,-1.8071939101632866
"MASTEK","Mastek Limited",930,922.65,"21-Sep-2020",867,"910.75",-43.75,-4.8037331869338455
"MATRIMONY","Matrimony.Com Limited",770,750,"06-Oct-2020",722.5,"720.45",2.05,0.28454438198348253
"METROPOLIS","Metropolis Healthcare Limited",2144.9,2109,"03-Mar-2020",2002,"1947.45",54.55,2.801098872885055
"MINDTREE","MindTree Limited",1395,1378.7,"06-Oct-2020",1392,"1371.95",20.05,1.4614235212653521
"NEULANDLAB","Neuland Laboratories Limited",1267,1225,"05-Oct-2020",1257,"1206.65",50.35,4.17270956781171
"NIRAJ","Niraj Cement Structurals Limited",44.3,42.2,"06-Oct-2020",44.3,"42.2",2.1,4.976303317535545
"NOCIL","NOCIL Limited",156.4,151.9,"06-Oct-2020",154.25,"150.05",4.2,2.7990669776741086
"NUCLEUS","Nucleus Software Exports Limited",755,733.45,"06-Oct-2020",697,"733.45",-36.45,-4.969663917104097
"OPTIEMUS","Optiemus Infracom Limited",68.5,65.25,"06-Oct-2020",68.5,"65.25",3.25,4.980842911877395
"PGEL","PG Electroplast Limited",102.05,97.2,"06-Oct-2020",102,"97.2",4.8,4.938271604938271
"RAMCOSYS","Ramco Systems Limited",515.85,491.3,"06-Oct-2020",515.85,"491.3",24.55,4.996946875636068
"SAKAR","Sakar Healthcare Limited",87.8,85.55,"06-Oct-2020",85.8,"84.85",0.95,1.1196228638774308
"SALASAR","Salasar Techno Engineering Limited",215,214,"06-Oct-2020",205.05,"212.85",-7.8,-3.664552501761804
"SEQUENT","Sequent Scientific Limited",168.75,162.75,"28-Sep-2020",166,"160.45",5.55,3.459021502025553
