"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"AGCNET","AGC Networks Limited",565,530,"22-Oct-2020",529.8,"523",6.8,1.3001912045889101
"AMBUJACEM","Ambuja Cements Limited",256,255.6,"22-Oct-2020",247.4,"253.6",-6.2,-2.444794952681388
"APCL","Anjani Portland Cement Limited",235.7,229.55,"22-Oct-2020",216.9,"224.9",-8,-3.557136505113384
"BAFNAPH","Bafna Pharmaceuticals Limited",90.55,86.25,"22-Oct-2020",90.55,"86.25",4.3,4.9855072463768115
"BIGBLOC","Bigbloc Construction Limited",73.95,73,"22-Oct-2020",73.95,"72.35",1.6,2.21147201105736
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",96.65,92.05,"22-Oct-2020",96.65,"92.05",4.6,4.997284084736556
"CEATLTD","CEAT Limited",1136,1100,"22-Oct-2020",1119,"1077.95",41.05,3.8081543670856717
"CGPOWER","CG Power and Industrial Solutions Limited",26.75,26.3,"06-Oct-2020",25.7,"25.5",0.2,0.7843137254901961
"CREATIVE","Creative Peripherals and Distribution Limited",146.9,145.95,"22-Oct-2020",140.7,"140.55",0.15,0.10672358591248667
"CROMPTON","Crompton Greaves Consumer Electricals Limited",329,301.45,"20-Feb-2020",302.3,"286.6",15.7,5.478018143754362
"EBBETF0431","Edelweiss Mutual Fund - BHARAT Bond ETF - April 2031",1009.95,1008.95,"22-Oct-2020",1009.49,"1007.98",1.51,0.14980455961427805
"GLOBUSSPR","Globus Spirits Limited",355,347,"22-Oct-2020",331.3,"340.2",-8.9,-2.6161081716637273
"GPIL","Godawari Power And Ispat limited",376.3,371.3,"20-Oct-2020",376.3,"358.4",17.9,4.994419642857143
"GREENPANEL","Greenpanel Industries Limited",73.2,69.75,"22-Oct-2020",71.5,"69.75",1.75,2.5089605734767026
"HAVELLS","Havells India Limited",731.75,727.8,"22-Oct-2020",724.95,"723.85",1.1,0.15196518615735305
"ICIL","Indo Count Industries Limited",163.6,155.85,"22-Oct-2020",163.6,"155.85",7.75,4.972730189284569
"INTELLECT","Intellect Design Arena Limited",259.4,256.9,"06-Oct-2020",245.7,"248",-2.3,-0.9274193548387096
"JETAIRWAYS","Jet Airways (India) Limited",51.2,49.4,"15-Jan-2020",51.2,"48.8",2.4,4.918032786885246
"JSWSTEEL","JSW Steel Limited",327.3,327.05,"22-Oct-2020",321.85,"325.5",-3.65,-1.1213517665130568
"LASA","Lasa Supergenerics Limited",80.95,79.75,"22-Oct-2020",76.9,"77.4",-0.5,-0.6459948320413437
"LAXMIMACH","Lakshmi Machine Works Limited",4088.85,4085,"15-Oct-2020",4000,"4007.1",-7.1,-0.17718549574505252
"NCLIND","NCL Industries Limited",141,137.65,"22-Oct-2020",139.5,"135.75",3.75,2.7624309392265194
"OFSS","Oracle Financial Services Software Limited",3400,3395,"22-Oct-2020",3315,"3367.7",-52.7,-1.5648662291771833
"OPTIEMUS","Optiemus Infracom Limited",108.4,103.5,"22-Oct-2020",108.4,"103.25",5.15,4.987893462469733
"PGEL","PG Electroplast Limited",106.55,104,"08-Oct-2020",106.55,"101.5",5.05,4.975369458128079
"PHILIPCARB","Phillips Carbon Black Limited",153.45,151.3,"22-Oct-2020",148.35,"150.15",-1.8,-1.1988011988011988
"PILANIINVS","Pilani Investment and Industries Corporation Limited",1990,1945,"24-Oct-2019",1988.95,"1743.9",245.05,14.05183783473823
"SBIETFPB","SBI Mutual Fund - SBI ETF Private Bank - SBI ETF Private Bank",139.46,138,"22-Oct-2020",139,"134.8",4.2,3.115727002967359
"SHRADHA","Shradha Infraprojects Limited",39.9,39.65,"22-Oct-2020",39.9,"38",1.9,5
"SHREDIGCEM","Shree Digvijay Cement Co.Ltd",62.5,60.2,"22-Jul-2020",59.4,"54.9",4.5,8.19672131147541
"SONATSOFTW","Sonata Software Limited",378.7,364.85,"22-Oct-2020",368.95,"360.95",8,2.2163734589278294
"SUPPETRO","Supreme Petrochem Limited",278.55,274.75,"20-Oct-2020",270.2,"271.7",-1.5,-0.5520794994479205
"SUPREMEIND","Supreme Industries Limited",1499,1485.7,"22-Oct-2020",1415,"1460.15",-45.15,-3.09214806697942
"SUULD","Suumaya Lifestyle Limited",75.6,72,"22-Oct-2020",75.6,"72",3.6,5
"TATAELXSI","Tata Elxsi Limited",1710,1635,"22-Oct-2020",1664,"1604.2",59.8,3.727714748784441
"TREJHARA","TREJHARA SOLUTIONS LIMITED",21.1,20.1,"22-Oct-2020",21.1,"20.1",1,4.975124378109452
"VERTOZ","Vertoz Advertising Limited",170.1,170.05,"22-Oct-2020",164.05,"164",0.05,0.03048780487804878
"WELSPUNIND","Welspun India Limited",77,75.45,"22-Oct-2020",76.45,"75.15",1.3,1.7298735861610113
