"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",72.95,69.5,"07-Oct-2020",72.95,"69.5",3.45,4.9640287769784175
"AARTIDRUGS","Aarti Drugs Limited",1026.95,937.4,"07-Oct-2020",1010.95,"937.4",73.55,7.84617025816087
"ADVENZYMES","Advanced Enzyme Technologies Limited",384.7,382.8,"07-Oct-2020",349.7,"378.9",-29.2,-7.7065188704143575
"AKASH","Akash Infra-Projects Limited",255,252,"14-Sep-2020",250,"246.4",3.6,1.4610389610389611
"ALPA","Alpa Laboratories Limited",35.8,34.25,"07-Oct-2020",35.8,"32.55",3.25,9.98463901689708
"AMBUJACEM","Ambuja Cements Limited",239.95,237.75,"07-Oct-2020",237.6,"234.8",2.8,1.192504258943782
"APOLLOHOSP","Apollo Hospitals Enterprise Limited",2256.9,2188.4,"07-Oct-2020",2245.05,"2173.1",71.95,3.3109382909208045
"BAFNAPH","Bafna Pharmaceuticals Limited",53.1,50.6,"07-Oct-2020",53.1,"50.6",2.5,4.940711462450593
"BALPHARMA","Bal Pharma Limited",54.75,53.9,"28-Jan-2020",54.75,"45.65",9.1,19.934282584884993
"BERGEPAINT","Berger Paints (I) Limited",617.4,611.9,"07-Oct-2020",613.6,"607.95",5.65,0.9293527428242454
"BIGBLOC","Bigbloc Construction Limited",64,61.6,"07-Oct-2020",64,"61.45",2.55,4.149715215622457
"BIOCON","Biocon Limited",473.75,469.25,"06-Oct-2020",472,"452.15",19.85,4.390136016808581
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",69.2,65.95,"07-Oct-2020",69.2,"65.95",3.25,4.927975739196361
"CADILAHC","Cadila Healthcare Limited",438.7,423.45,"06-Oct-2020",435.35,"412.85",22.5,5.44992127891486
"CIGNITITEC","Cigniti Technologies Limited",497.05,483.1,"07-Oct-2020",475,"473.5",1.5,0.3167898627243928
"COFORGE","Coforge Limited",2554.9,2438.95,"05-Oct-2020",2473.95,"2395.4",78.55,3.2792018034566253
"CYBERTECH","Cybertech Systems And Software Limited",87.7,73.8,"07-Oct-2020",85,"73.8",11.2,15.176151761517616
"ESTER","Ester Industries Limited",100.55,89.5,"07-Oct-2020",92.5,"86.5",6,6.936416184971098
"GARFIBRES","Garware Technical Fibres Limited",2232.8,2205,"29-Sep-2020",2229.9,"2152.75",77.15,3.583788177911973
"GLOBE","Globe Textiles (India) Limited",57.6,55.65,"07-Oct-2020",57.6,"54.9",2.7,4.918032786885246
"GLOBUSSPR","Globus Spirits Limited",333.85,303.05,"07-Oct-2020",322.9,"291.05",31.85,10.943136918055316
"GREENPANEL","Greenpanel Industries Limited",62.05,61.1,"05-Feb-2020",62.05,"59.1",2.95,4.991539763113368
"HCLTECH","HCL Technologies Limited",879,849.9,"21-Sep-2020",849.5,"828.05",21.45,2.590423283618139
"HEROMOTOCO","Hero MotoCorp Limited",3292.8,3249.95,"07-Oct-2020",3285,"3233.65",51.35,1.5879888052201072
"HEXAWARE","Hexaware Technologies Limited",471.5,468.9,"23-Sep-2020",467.5,"466.6",0.9,0.19288469781397344
"INDSWFTLAB","Ind-Swift Laboratories Limited",60,59.35,"07-Oct-2020",58.4,"57.55",0.85,1.476976542137272
"INFIBEAM","Infibeam Avenues Limited",94,86.85,"07-Oct-2020",86.3,"86.85",-0.55,-0.6332757628094415
"INFY","Infosys Limited",1124,1072,"07-Oct-2020",1094.5,"1066.55",27.95,2.620599128029628
"IZMO","IZMO Limited",41.45,39.5,"07-Oct-2020",41.45,"39.5",1.95,4.936708860759493
"JSWSTEEL","JSW Steel Limited",298.4,296.75,"14-Feb-2020",292.65,"291.45",1.2,0.4117344312918168
"LTI","Larsen & Toubro Infotech Limited",2959,2794.35,"18-Sep-2020",2853.8,"2667.1",186.7,7.00011248172172
"MINDTREE","MindTree Limited",1589.9,1395,"07-Oct-2020",1468.3,"1388.2",80.1,5.770061950727561
"MPHASIS","MphasiS Limited",1454,1419.85,"23-Sep-2020",1411,"1338.65",72.35,5.404698763679827
"NETFIT","Nippon India Mutual Fund - Nippon India ETF Nifty IT",22.27,22,"06-Oct-2020",21.76,"21.12",0.64,3.0303030303030303
"NEULANDLAB","Neuland Laboratories Limited",1295,1267,"07-Oct-2020",1274.6,"1252.5",22.1,1.7644710578842315
"NIRAJ","Niraj Cement Structurals Limited",46.5,44.3,"07-Oct-2020",46.5,"44.3",2.2,4.966139954853273
