"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",88.55,84.35,"13-Oct-2020",88.55,"84.35",4.2,4.979253112033195
"AKASH","Akash Infra-Projects Limited",255,255,"13-Oct-2020",252.75,"252.95",-0.2,-0.0790670092903736
"APCL","Anjani Portland Cement Limited",221.65,214.7,"16-Sep-2020",206.75,"198.3",8.45,4.261220373171962
"BAFNAPH","Bafna Pharmaceuticals Limited",64.45,61.4,"13-Oct-2020",64.45,"61.4",3.05,4.96742671009772
"BALAXI","Balaxi Ventures Limited",1080.2,1040.15,"13-Oct-2020",988.15,"1040.15",-52,-4.99927895015142
"BIRLAMONEY","Aditya Birla Money Limited",47.65,46.45,"12-Oct-2020",44.3,"45.1",-0.8,-1.7738359201773837
"CIGNITITEC","Cigniti Technologies Limited",504.9,497.05,"08-Oct-2020",498.5,"492.2",6.3,1.2799674928890694
"CYBERTECH","Cybertech Systems And Software Limited",98.45,91.3,"13-Oct-2020",91.55,"90.6",0.95,1.0485651214128036
"DSSL","Dynacons Systems & Solutions Limited",54.85,49.95,"13-Oct-2020",45,"49.95",-4.95,-9.90990990990991
"EQ30","Edelweiss ETF - Nifty 100 Quality 30",355,353.98,"07-Oct-2020",348,"346.5",1.5,0.4329004329004329
"HCLTECH","HCL Technologies Limited",910.7,906.6,"13-Oct-2020",887,"900.4",-13.4,-1.4882274544646823
"ICEMAKE","Ice Make Refrigeration Limited",63.95,60.95,"13-Oct-2020",63.95,"60.95",3,4.9220672682526665
"ICIL","Indo Count Industries Limited",127.35,125,"13-Oct-2020",125.8,"121.1",4.7,3.8810900082576385
"IVZINNIFTY","Invesco India Nifty Exchange Traded Fund",1541.55,1449,"01-Sep-2020",1243.5,"1293.15",-49.65,-3.8394617793759425
"JKCEMENT","JK Cement Limited",1739.05,1725,"13-Oct-2020",1730,"1708.1",21.9,1.2821263392073063
"JSL","Jindal Stainless Limited",58.3,53.5,"13-Oct-2020",54.75,"52.7",2.05,3.8899430740037952
"KOPRAN","Kopran Limited",102.95,98.05,"13-Oct-2020",102.95,"98.05",4.9,4.997450280469148
"MINDTREE","MindTree Limited",1605.85,1596.95,"13-Oct-2020",1543,"1585.2",-42.2,-2.662124653040626
"MPHASIS","MphasiS Limited",1464.8,1454,"08-Oct-2020",1425,"1403.9",21.1,1.5029560510007836
"NAUKRI","Info Edge (India) Limited",3785.9,3703.1,"29-Sep-2020",3767.05,"3579.4",187.65,5.242498742806057
"NETF","Tata Nifty Exchange Traded Fund",141.47,140,"22-Sep-2020",136.97,"133.07",3.9,2.93078830690614
"NIRAJ","Niraj Cement Structurals Limited",54.45,53.75,"13-Oct-2020",52,"53.05",-1.05,-1.9792648444863337
"PERSISTENT","Persistent Systems Limited",1390,1385.85,"30-Sep-2020",1370,"1344.3",25.7,1.9117756453172654
"QUICKHEAL","Quick Heal Technologies Limited",183.3,177.8,"06-Oct-2020",177,"168",9,5.357142857142857
"SAREGAMA","Saregama India Limited",620,606.9,"13-Oct-2020",579.3,"595.2",-15.9,-2.6713709677419355
"SASKEN","Sasken Technologies Limited",794,752.75,"23-Sep-2020",760.4,"735.15",25.25,3.4346731959464054
"SBICARD","SBI Cards and Payment Services Limited",895.5,868,"14-Sep-2020",891,"856.35",34.65,4.046242774566474
"SONATSOFTW","Sonata Software Limited",364,360.5,"13-Oct-2020",356.35,"357",-0.65,-0.18207282913165265
"SOUTHWEST","South West Pinnacle Exploration Limited",31,30.65,"12-Oct-2020",30.9,"28.95",1.95,6.7357512953367875
"STAR","Strides Pharma Science Limited",764.4,755,"29-Sep-2020",740.15,"738.15",2,0.270947639368692
"TATAELXSI","Tata Elxsi Limited",1506.7,1498.3,"12-Oct-2020",1455,"1458.2",-3.2,-0.2194486353037992
"VISHAL","Vishal Fabrics Limited",357.55,354.4,"13-Oct-2020",357.3,"354.2",3.1,0.8752117447769622
