"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",84.35,80.35,"12-Oct-2020",84.35,"80.35",4,4.978220286247667
"AKASH","Akash Infra-Projects Limited",255,255,"12-Oct-2020",250,"250.05",-0.05,-0.01999600079984003
"AMBUJACEM","Ambuja Cements Limited",249.35,242.35,"12-Oct-2020",241.9,"238.4",3.5,1.4681208053691275
"BAFNAPH","Bafna Pharmaceuticals Limited",61.4,58.5,"12-Oct-2020",61.4,"58.5",2.9,4.957264957264957
"BALAXI","Balaxi Ventures Limited",1040.15,993.15,"12-Oct-2020",1040.15,"990.65",49.5,4.996719325695251
"BIGBLOC","Bigbloc Construction Limited",71,69.75,"12-Oct-2020",66.75,"68.5",-1.75,-2.5547445255474455
"CIPLA","Cipla Limited",829.05,825,"09-Oct-2020",784.5,"813.65",-29.15,-3.5826215203097154
"COFORGE","Coforge Limited",2814,2710,"12-Oct-2020",2785.8,"2667.6",118.2,4.430949167791273
"CYBERTECH","Cybertech Systems And Software Limited",91.3,87.7,"08-Oct-2020",91.3,"76.1",15.2,19.97371879106439
"DSSL","Dynacons Systems & Solutions Limited",49.95,45.45,"12-Oct-2020",49.95,"45.45",4.5,9.900990099009901
"EXPLEOSOL","Expleo Solutions Limited",642.4,591,"12-Oct-2020",595.25,"570.7",24.55,4.301734711757491
"HCLTECH","HCL Technologies Limited",906.6,879,"08-Oct-2020",900.9,"865.8",35.1,4.054054054054054
"ICEMAKE","Ice Make Refrigeration Limited",60.95,58.05,"12-Oct-2020",60.95,"58.05",2.9,4.995693367786391
"ICIL","Indo Count Industries Limited",125,121.75,"05-Oct-2020",122,"114.65",7.35,6.4108155255124295
"INFY","Infosys Limited",1166.05,1140,"12-Oct-2020",1160,"1132.1",27.9,2.4644466036569206
"IZMO","IZMO Limited",47.4,45.65,"12-Oct-2020",44.65,"45.65",-1,-2.190580503833516
"JKCEMENT","JK Cement Limited",1725,1686,"12-Oct-2020",1710,"1654.5",55.5,3.354487760652765
"JSL","Jindal Stainless Limited",53.5,53,"21-Aug-2020",52.55,"51.35",1.2,2.3369036027263874
"KOPRAN","Kopran Limited",98.05,96.5,"01-Oct-2020",98.05,"93.4",4.65,4.9785867237687365
"KOTAKNV20","Kotak Mahindra MF - Kotak NV 20 ETF - DPO",72.45,70,"14-Feb-2020",63,"62.01",0.99,1.5965166908563135
"LTTS","L&T Technology Services Limited",1879.4,1780,"27-Jan-2020",1803.9,"1647.9",156,9.466593846714
"MINDTREE","MindTree Limited",1596.95,1589.9,"08-Oct-2020",1588,"1562.35",25.65,1.6417576087304382
"NETFIT","Nippon India Mutual Fund - Nippon India ETF Nifty IT",26.2,23,"12-Oct-2020",23.1,"22.31",0.79,3.5410129986553116
"NIRAJ","Niraj Cement Structurals Limited",53.75,51.2,"12-Oct-2020",53.2,"51.2",2,3.90625
"PALREDTEC","Palred Technologies Limited",34.3,33.8,"12-Oct-2020",32.9,"32.7",0.2,0.6116207951070336
"RESPONIND","Responsive Industries Limited",124.8,123.3,"08-Oct-2020",120.5,"119.3",1.2,1.0058675607711651
"SAREGAMA","Saregama India Limited",606.9,602.8,"16-Sep-2020",588.8,"559.5",29.3,5.236818588025022
"SHARIABEES","NIPPON INDIA ETF SHARIAH BEES",347,343.6,"20-Aug-2020",334,"312.34",21.66,6.934750592303259
"SONATSOFTW","Sonata Software Limited",360.5,354.95,"27-Feb-2020",360,"334.2",25.8,7.719928186714542
"VISHAL","Vishal Fabrics Limited",354.4,351.3,"12-Oct-2020",354.25,"351.15",3.1,0.8828136124163463
"VISHWARAJ","Vishwaraj Sugar Industries Limited",113.4,112.8,"05-Oct-2020",109,"106.95",2.05,1.9167835437120149
"WIPRO","Wipro Limited",381.7,379.8,"12-Oct-2020",375.2,"377.5",-2.3,-0.609271523178808
