"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"8KMILES","8K Miles Software Services Limited",66.2,63.05,"05-Oct-2020",66.2,"63.05",3.15,4.9960348929421095
"ADVENZYMES","Advanced Enzyme Technologies Limited",368.7,345,"05-Oct-2020",359,"340.2",18.8,5.526161081716637
"ALPA","Alpa Laboratories Limited",32.9,32.3,"27-Aug-2020",32.9,"31.35",1.55,4.944178628389155
"ASIANPAINT","Asian Paints Limited",2097.9,2069.95,"11-Sep-2020",2091,"2028",63,3.106508875739645
"BAFNAPH","Bafna Pharmaceuticals Limited",48.2,45.95,"05-Oct-2020",48.2,"45.95",2.25,4.896626768226333
"BEPL","Bhansali Engineering Polymers Limited",89,85.8,"05-Oct-2020",88.35,"83.65",4.7,5.618649133293485
"BERGEPAINT","Berger Paints (I) Limited",609.75,599.85,"29-Sep-2020",605.25,"590.9",14.35,2.4284988999830768
"BIGBLOC","Bigbloc Construction Limited",58.8,57.45,"05-Oct-2020",58.7,"56",2.7,4.821428571428571
"BIOCON","Biocon Limited",469.25,463.9,"18-Sep-2020",455.6,"458.35",-2.75,-0.5999781826115413
"BIOFILCHEM","Biofil Chemicals & Pharmaceuticals Limited",62.85,59.9,"05-Oct-2020",62.85,"59.9",2.95,4.924874791318865
"BLISSGVS","Bliss GVS Pharma Limited",181.6,181.1,"01-Oct-2020",173,"179",-6,-3.35195530726257
"CADILAHC","Cadila Healthcare Limited",423.45,423,"18-Sep-2020",416,"414.05",1.95,0.47095761381475665
"CGPOWER","CG Power and Industrial Solutions Limited",26.3,26.25,"17-Sep-2020",25.3,"25.7",-0.4,-1.556420233463035
"CIGNITITEC","Cigniti Technologies Limited",447.25,444.9,"05-Oct-2020",443.5,"434.8",8.7,2.000919963201472
"DABUR","Dabur India Limited",535,528,"10-Aug-2020",529,"520",9,1.7307692307692308
"ESTER","Ester Industries Limited",85.5,83.45,"16-Sep-2020",85.5,"81.45",4.05,4.972375690607735
"GAEL","Gujarat Ambuja Exports Limited",129,128,"01-Oct-2020",120.3,"120.8",-0.5,-0.4139072847682119
"IBVENTURES","Indiabulls Ventures Limited",275,274.8,"05-Oct-2020",272.5,"267.65",4.85,1.8120679992527555
"INDSWFTLAB","Ind-Swift Laboratories Limited",56.55,53.9,"05-Oct-2020",56.55,"53.9",2.65,4.916512059369202
"INFOBEAN","InfoBeans Technologies Limited",188.55,179.6,"05-Oct-2020",188.55,"179.6",8.95,4.9832962138084635
"INFY","Infosys Limited",1060,1054.9,"05-Oct-2020",1056.45,"1048.7",7.75,0.7390102031086107
"INTELLECT","Intellect Design Arena Limited",256.9,246.1,"05-Oct-2020",248.15,"246.1",2.05,0.8329947175944737
"IZMO","IZMO Limited",37.65,37.25,"18-Sep-2020",37.65,"35.9",1.75,4.874651810584958
"JASH","Jash Engineering Limited",217,214.85,"01-Oct-2020",216.45,"203.25",13.2,6.4944649446494465
"MAJESCO","Majesco Limited",860.45,845,"24-Sep-2020",860.45,"819.5",40.95,4.996949359365467
"MATRIMONY","Matrimony.Com Limited",750,711.75,"05-Oct-2020",721,"711.75",9.25,1.2996136283807516
"MFSL","Max Financial Services Limited",645,641.75,"27-Aug-2020",620.3,"612.3",8,1.3065490772497141
"MINDTREE","MindTree Limited",1378.7,1373.75,"05-Oct-2020",1377,"1349.45",27.55,2.041572492496943
"MUKANDLTD","Mukand Limited",56.55,53.9,"05-Oct-2020",54.05,"53.9",0.15,0.2782931354359926
"NETFIT","Nippon India Mutual Fund - Nippon India ETF Nifty IT",22,21.4,"21-Sep-2020",21.04,"20.87",0.17,0.8145663632007667
"NIRAJ","Niraj Cement Structurals Limited",42.2,40.2,"05-Oct-2020",42.2,"40.2",2,4.975124378109452
"NOCIL","NOCIL Limited",151.9,148.7,"29-Sep-2020",150.05,"146.85",3.2,2.179094313925775
"NOVARTIND","Novartis India Limited",706.75,702.05,"05-Oct-2020",688.95,"678.7",10.25,1.5102401650213644
"NUCLEUS","Nucleus Software Exports Limited",733.45,718,"29-Sep-2020",733.45,"698.55",34.9,4.996063273924558
"OPTIEMUS","Optiemus Infracom Limited",65.25,63.5,"16-Sep-2020",65.25,"62.15",3.1,4.98793242156074
"PGEL","PG Electroplast Limited",97.2,92.6,"05-Oct-2020",97.2,"92.6",4.6,4.967602591792657
"PPAP","PPAP Automotive Limited",260,257.9,"05-Oct-2020",243.2,"251.15",-7.95,-3.1654389806888314
"QUICKHEAL","Quick Heal Technologies Limited",177.8,173.7,"05-Oct-2020",171.7,"170.65",1.05,0.6152944623498389
"RAMCOSYS","Ramco Systems Limited",491.3,467.95,"05-Oct-2020",491.3,"467.95",23.35,4.989849342878513
"RSYSTEMS","R Systems International Limited",135.7,133.95,"05-Oct-2020",126.05,"130.65",-4.6,-3.520857252200536
"SAKAR","Sakar Healthcare Limited",85.55,83.75,"01-Jul-2020",85.4,"81.5",3.9,4.785276073619632
"SALASAR","Salasar Techno Engineering Limited",214,209,"05-Oct-2020",212.95,"208.15",4.8,2.3060293057890946
"SOUTHWEST","South West Pinnacle Exploration Limited",29,28.45,"05-Oct-2020",28.3,"28.05",0.25,0.8912655971479501
"TATAELXSI","Tata Elxsi Limited",1403,1375,"05-Oct-2020",1388,"1346.75",41.25,3.062929274178578
"TCS","Tata Consultancy Services Limited",2736,2728.1,"05-Oct-2020",2719.8,"2705.8",14,0.5174070515189593
"TECHM","Tech Mahindra Limited",854.95,850.95,"05-Oct-2020",846.9,"841.25",5.65,0.6716196136701337
"THYROCARE","Thyrocare Technologies Limited",910,846.9,"18-Aug-2020",883.65,"775",108.65,14.019354838709678
"VENUSREM","Venus Remedies Limited",157.95,150.45,"05-Oct-2020",152.9,"150.45",2.45,1.6284479893652377
